name,publisher,custum cpe
Microsoft Office Word MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Proof (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Proof (French) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Proof (Spanish) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Proofing (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Enterprise 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office InfoPath MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Shared MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office OneNote MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office_onenote:*:*:*:*:*:*:*:*
Microsoft Office Groove MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Groove Setup Metadata MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Shared Setup Metadata MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Access Setup Metadata MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
SDK Debuggers,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps DirectX x86 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows Desktop Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Managed Apps Libs,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Desktop Tools arm64,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Metadata,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows Team Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows IoT Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs x64,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Mobile Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Tools,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers arm,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Modern Versioned Developer Tools,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30708,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers x86,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Facade Windows WinMD Versioned,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
